brand,@lat,@lon
,59.8613015,30.3351446
Магнит,59.8750689,30.3750595
Дикси,60.0189500,30.3218251
Prisma,59.8493390,30.1439298
,59.9809749,30.3523142
,59.8582847,30.1958540
,60.0097220,30.3499226
Азбука вкуса,59.9421190,30.3488338
Дикси,59.9920796,30.3101332
Дикси,59.9714345,30.3061773
Магнит,59.8523489,30.2462264
,60.0514663,30.4459039
,59.8497792,30.2063997
Дикси,59.8623696,30.3474490
Магнит,59.9737532,30.3889155
,59.8889822,30.4263821
Магнит,59.9586525,30.4159008
Магнит,60.0248056,30.4281836
Магнит,59.9939408,30.1931792
,59.8655336,30.3845700
,60.0222574,30.3927939
,59.7236700,30.2687121
Магнит,59.8763719,30.4419351
Пятерочка,59.7217647,30.2650668
Дикси,59.9286263,30.2467290
Магнит,59.8553256,30.3690987
Азбука вкуса,59.8890606,30.3188488
Магнит,59.9358815,30.3723783
Семишагофф,59.9137795,30.3268220
,59.8581652,30.4730676
Дикси,59.9398602,30.3501087
,59.8688962,30.2588301
Дикси,59.9508056,30.4103192
Дикси,59.8594204,30.3038954
Магнит,59.8678119,30.2591253
,59.8484511,30.3853090
,59.8922305,30.2632938
Магнит,59.9081520,30.2639581
Магнит,59.9888991,30.3112602
Дикси,59.9369995,30.3526375
Дикси,59.7375047,30.4015411
Магнит,59.8303044,30.4225230
,59.7341441,30.5824797
,59.7422162,30.6098902
,59.7353620,30.5831820
,59.8694790,30.4110316
,59.7271020,30.4169806
Дикси,59.8322165,30.3512560
,59.9725226,30.2696541
,59.9847619,30.2790798
Дикси,59.9280135,30.3767253
Пятерочка,59.7157396,30.4237109
,59.6871733,30.4285221
,59.8657398,30.3800444
Дикси,59.9712059,30.3874827
Пятерочка,59.9602404,30.2288443
Дикси,59.8500717,30.4037250
,59.8340123,30.3819268
Семишагофф,59.8787532,30.2683416
,60.0862369,29.9543500
,59.9269156,30.4699276
Дикси,59.9699910,30.4058974
Пятерочка,59.9706892,30.4029813
Дикси,60.0321630,30.4052627
Дикси,59.9757791,30.3384279
Магнит,59.9693103,30.4087140
Магнит,59.8751926,30.4032472
,59.8555186,30.3523906
,59.9740251,30.2615818
Перекресток,60.0005584,30.2107750
,59.8481056,30.1553315
,60.0202591,30.4108924
Дикси,59.9096828,30.4722893
Дикси,59.9174109,30.3072435
,60.0850950,29.9533284
,60.0002594,30.3173409
,59.6660090,30.1026435
Дикси,60.0470855,30.3293756
,59.7018919,29.9459042
Дикси,59.9632475,30.3519648
Дикси,59.9236439,30.3558338
Дикси,59.9706251,30.3068091
Дикси,59.8504555,30.0211407
Семишагофф,59.9448516,30.3825200
Пятерочка,59.8713928,30.3787639
Prisma,60.0165853,30.2453544
Дикси,60.0299985,30.2182690
Магнит,59.9905987,29.7884887
Дикси,59.9886078,29.7869383
Магнит,59.9329481,30.2452851
Дикси,59.9243516,30.4160088
Пятерочка,59.8341763,30.1462505
Пятерочка,59.9452652,30.4140861
Дикси,59.9506262,30.2467919
Магнит,59.8613579,30.1972493
Дикси,59.9270615,30.3533217
Магнит,59.9594956,30.2966137
Дикси,59.9313301,30.3706291
Перекресток,60.0062647,30.2110120
Пятерочка,59.8110375,30.0741119
Prisma,59.9207762,30.3563227
,59.8613365,30.3039719
,59.8561136,30.2988140
,59.8725916,29.8578753
Магнит,59.9251532,30.3221426
Семишагофф,59.8075609,30.0765813
Дикси,59.9523771,30.2996967
Магнит,60.0065089,30.2681123
Дикси,59.8533523,30.3163948
Prisma,60.0218247,30.2261770
Дикси,59.9566585,30.4150088
,59.8372257,30.3531680
,59.9244241,30.3377034
,59.9396933,30.3542605
Семишагофф,59.8560517,30.3385594
Магнит,59.8443545,30.3992735
,60.0652416,30.3024163
Prisma,59.9882164,30.3533516
Дикси,59.9369200,30.3364529
Пятерочка,60.0016633,30.3870723
Магнит,60.0363297,30.4198389
,59.8539333,30.1449430
Дикси,59.9458083,30.3806888
Магнит,60.0109289,30.4079698
Магнит,59.7387691,30.4655834
Дикси,59.9360763,30.2740476
,59.9315736,30.3594142
Пятерочка,59.9351786,30.2470188
Магнит,59.9280924,30.3193825
Магнит,60.0061948,30.2483238
,59.9716562,30.3475892
Пятерочка,59.8525249,30.3574153
Магнит,59.9251217,30.4759145
,59.8277978,30.1904010
Магнит,59.7291039,30.0831669
,60.0438672,30.3196590
Лента,59.8813853,29.8934533
,59.8815863,29.8945392
,59.8772812,29.8989550
Азбука вкуса,59.9420492,30.2256973
Дикси,59.8040147,30.3751444
Дикси,59.8527179,30.3347720
Магнит,59.9048325,30.4686218
,59.7372764,30.5789874
Дикси,59.7466521,30.6070133
Дикси,59.7506909,30.5739651
,59.7359889,30.5753749
,59.7411415,30.5900026
,59.7737994,30.5966019
,59.7392174,30.5812212
,59.7415725,30.5647547
Дикси,59.8623224,30.3278832
Пятерочка,59.9593168,30.3058511
,59.6646697,30.1070919
Магнит,59.8615877,30.1891787
Пятерочка,59.9518733,30.4223562
Пятерочка,60.0744761,30.3397633
Семишагофф,59.9496310,30.2449439
Магнит,60.0070300,30.6065783
Дикси,59.9379249,30.3441615
Пятерочка,59.9735656,30.3988586
,59.8864900,29.8610040
Дикси,59.9855076,30.4131056
,59.9855969,30.4127072
Дикси,60.0340638,30.4542056
Дикси,60.0333024,30.2951147
,59.8648089,30.4142745
,59.7065326,30.3879922
,59.8404741,30.4905154
Магнит,59.8609046,30.3894973
Пятерочка,59.8472240,30.4060523
Пятерочка,59.7264703,30.4641828
Перекресток,59.7324379,30.4695846
Магнит,60.0452733,30.3766603
Магнит,60.0387254,30.4008243
Пятерочка,60.0407105,30.3964472
Магнит,60.0064344,30.4032838
,59.9715567,30.4346436
,59.8993926,30.2734396
,59.9648373,30.4865226
Пятерочка,59.8358268,30.1322952
Дикси,59.8348744,30.1461415
Семишагофф,59.9576693,30.4218683
Магнит,59.8577016,30.3890772
Магнит,59.8496089,30.1507997
,59.8371623,30.2628804
Азбука вкуса,59.9611899,30.3037781
Магнит,59.9462994,30.4144306
Семишагофф,59.8555241,30.2408719
Дикси,59.8513245,30.1432637
Магнит,59.7374933,30.4635920
,60.0502043,30.3810088
Магнит,60.0073188,30.4182184
Дикси,59.9942409,30.4315142
Пятерочка,59.7412086,30.0907670
,59.8563675,30.1998305
Дикси,60.0098564,30.4063451
Дикси,60.0787626,30.3423884
Дикси,59.9257833,30.3272999
Дикси,59.9745442,30.3034135
Дикси,59.9681150,30.3020059
,59.8901963,30.4311564
Дикси,60.0352204,30.2447236
Семишагофф,60.0177338,30.3669804
Пятерочка,59.8636351,30.4942442
,59.9339821,30.3134871
Дикси,59.9890159,30.3330119
,60.0180635,30.3188516
,60.0110941,30.2573148
Магнит,60.0430840,30.3289296
Семишагофф,60.0481935,30.3603084
Дикси,59.8646772,30.3221028
Семишагофф,59.9227690,30.3504996
Магнит,60.0469522,30.3267915
Пятерочка,60.0354243,30.3743217
Пятерочка,60.0178823,30.3754554
,59.8264614,30.3260198
Дикси,59.9485074,30.2806347
Дикси,59.8973754,30.4319380
Дикси,59.8703283,29.8487579
,59.9496707,30.5566629
,59.8789897,30.3139891
Дикси,59.8585506,30.1890332
Магнит,59.9407409,30.2328966
,60.0144582,30.2582573
Дикси,60.0508299,30.3421172
Магнит,59.7959426,30.1598081
,59.8077858,30.3814899
Пятерочка,59.9981144,30.2790044
Дикси,60.0120720,30.3114626
Дикси,59.9931834,30.4338398
,59.9415872,30.3235871
Дикси,59.9419035,30.2236068
Дикси,60.0550780,30.3355295
,59.9329511,30.4630892
Магнит,59.9702161,30.4022004
Магнит,60.0373680,30.4304487
Магнит,59.8365586,30.3581215
Магнит,59.8150757,30.2934117
,60.0011160,30.2059325
Дикси,59.8380667,30.3560736
,59.9968362,30.3823336
,59.8910553,30.4202482
,59.9153707,30.4699918
,59.8642049,30.4729589
Магнит,59.9428946,30.4788093
,59.8438609,30.2768091
,60.0588862,30.4695408
Дикси,60.0645605,30.4580034
,59.8680374,29.9186594
,59.8968914,30.4757413
Пятерочка,60.0518178,30.4235966
Дикси,59.9117844,30.3095069
Перекресток,60.0366609,30.3216635
Дикси,60.0320149,30.3449559
Дикси,59.8790983,30.4300720
Дикси,60.0237455,30.2197351
,60.0172951,30.2295903
Семишагофф,59.8457440,30.4849029
Магнит,59.8562205,29.9507182
,60.0334076,30.4497261
Пятерочка,59.8407828,30.2386645
Магнит,60.0161946,30.3109941
Перекресток,60.0025461,30.2731775
,60.0816605,30.3409225
Магнит,59.8496254,30.3271711
Пятерочка,59.8514607,30.2937449
Пятерочка,59.8603346,30.3636817
,59.7991698,30.6313855
Дикси,59.9295884,30.3240678
Магнит,60.0101265,30.2630827
Дикси,59.9287232,30.3051701
Prisma,59.9321155,30.2605041
,59.7397590,30.3951554
Магнит,59.8341806,30.2184619
Дикси,59.8463070,30.1101767
,59.8419327,30.2557998
Магнит,59.8557724,30.2073539
,60.0034511,30.2026811
,59.8386023,30.1744607
Дикси,59.9483338,30.5761205
Семишагофф,59.9156813,30.4862956
Пятерочка,60.0005654,30.2919995
,59.9243687,30.3278538
,59.9724821,30.3059127
Дикси,59.9050882,30.2890555
Лента,59.9417765,30.2585560
Дикси,59.9425092,30.3609223
Дикси,59.8523412,30.2162185
Перекресток,60.0110147,30.4021879
Дикси,59.9307595,30.3657632
,59.9389700,30.3239950
Магнит,60.0482832,30.3527188
Семишагофф,60.0410999,30.4153643
Дикси,59.9409091,30.3790349
Лента,59.9408878,30.3904360
,59.8528946,30.2149581
Пятерочка,59.8810732,30.4650450
,60.0396029,30.3455756
Магнит,60.0327051,30.3521710
Лента,59.8400704,30.3369552
Пятерочка,59.9482236,30.2396795
Магнит,60.0518893,30.3367253
,60.0300352,30.4162680
Дикси,59.9311016,30.4205371
Магнит,60.0401814,30.4146128
Пятерочка,60.0441351,30.3889006
Магнит,60.0115511,30.2854906
,59.8313526,30.1437826
,59.8359456,30.1363370
Семишагофф,59.8434315,30.2285882
,59.8322660,30.1503618
